City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
201,Trinidad,BO,2021-08-08 18:15:59,-14.8333,-64.9,93.18,40,20,13.8,smoke
202,Betul,IN,2021-08-08 18:16:00,21.9153,77.8961,74.23,91,96,4.9,overcast clouds
203,Payson,US,2021-08-08 18:16:00,40.0444,-111.7321,92.52,27,1,4.0,smoke
204,Santa Elena,EC,2021-08-08 18:16:00,-2.2333,-80.85,74.23,72,62,11.5,broken clouds
205,Esperance,AU,2021-08-08 18:15:41,-33.8667,121.9,59.63,76,3,14.2,clear sky
206,Serebryanyy Bor,RU,2021-08-08 18:16:01,56.8,124.8,52.93,69,99,6.96,overcast clouds
207,Gizo,SB,2021-08-08 18:15:10,-8.103,156.8419,80.22,74,69,4.9,broken clouds
208,Vysha,RU,2021-08-08 18:16:01,53.8477,42.3777,73.47,51,99,6.04,light rain
209,Fort Nelson,CA,2021-08-08 18:16:01,58.8053,-122.7002,56.79,77,75,2.3,broken clouds
210,Zlitan,LY,2021-08-08 18:16:02,32.4674,14.5687,85.33,56,0,15.28,clear sky
211,Norman Wells,CA,2021-08-08 18:16:02,65.282,-126.8329,50.04,71,90,10.36,overcast clouds
212,Motril,ES,2021-08-08 18:16:02,36.7507,-3.5179,98.13,57,0,3.89,clear sky
213,Lasa,IT,2021-08-08 18:16:02,46.6166,10.7002,73.31,85,67,1.83,broken clouds
214,Yar-Sale,RU,2021-08-08 18:16:03,66.8333,70.8333,53.49,70,81,17.36,broken clouds
215,Lorengau,PG,2021-08-08 18:16:03,-2.0226,147.2712,80.74,79,64,9.44,broken clouds
216,Aktau,KZ,2021-08-08 18:16:03,43.65,51.2,88.38,25,28,5.19,scattered clouds
217,Hailey,US,2021-08-08 18:16:04,43.5196,-114.3153,67.86,52,1,11.5,clear sky
218,Swan River,CA,2021-08-08 18:16:04,52.1058,-101.2676,80.49,54,86,8.05,overcast clouds
219,Severo-Kurilsk,RU,2021-08-08 18:16:04,50.6789,156.125,52.72,83,33,10.67,scattered clouds
220,Billings,US,2021-08-08 18:12:49,45.7833,-108.5007,97.36,19,20,13.8,few clouds
221,Irbil,IQ,2021-08-08 18:16:04,36.1926,44.0106,94.82,14,0,4.61,clear sky
